Name,User_id,Followers,Post,Hashtags,Posted_time,Favourites,retweets
Hearthstone,1209608880,877640,"The heroic Defenders of Dalaran won't sit idly by while the League of E.V.I.L. stalks their city! #RiseOfShadows

F… https://t.co/xHXNb0TBR3",RiseOfShadows,Sat Mar 30 19:49:51 +0000 2019,199,19
Hearthstone,1209608880,877640,"What mayhem will you cause with these? #RiseOfShadows

Full Card Gallery: https://t.co/ti2cm24jrM https://t.co/w6lvzgmkVQ",RiseOfShadows,Fri Mar 29 23:01:19 +0000 2019,197,17
Hearthstone,1209608880,877640,A few more locations have been added to the list! https://t.co/kiHlrlMm2o https://t.co/12tBa1Rc96,[],Fri Mar 29 21:43:21 +0000 2019,71,6
Hearthstone,1209608880,877640,Looking to test your skills against the best in the tavern? Learn more about what it takes to compete in the Hearth… https://t.co/sSCey74DZM,[],Fri Mar 29 18:01:43 +0000 2019,225,42
Hearthstone,1209608880,877640,"With the help from stalwart minions and powerful spells! #RiseOfShadows

Full Card Gallery: https://t.co/ti2cm1MI3c https://t.co/67jFrnruJ9",RiseOfShadows,Thu Mar 28 21:58:44 +0000 2019,132,10
Hearthstone,1209608880,877640,"The Defenders of Dalaran are well equipped to handle anything that gets thrown at them! #RiseOfShadows

Full Card G… https://t.co/eeUpmetzNv",RiseOfShadows,Thu Mar 28 21:58:44 +0000 2019,223,17
Hearthstone,1209608880,877640,Learn how the new smart deck builder helps you build the best decks possible with the click of a button in the late… https://t.co/HLeoaNTHGL,[],Thu Mar 28 19:00:01 +0000 2019,154,31
Hearthstone,1209608880,877640,"Join Lead Designer Peter Whalen on an exploration of the magical city of Dalaran, and see some new #RiseOfShadows c… https://t.co/IF0WYHfh1R",RiseOfShadows,Thu Mar 28 16:05:01 +0000 2019,177,22
Hearthstone,1209608880,877640,"RT @YukieTAJIMA: 【Hearthstone】今年もあの日が近づいてきました
Thank you minions😭💕

#Hearthstone #ハースストーン #FANART https://t.co/FZtnzILPop",Hearthstone,Wed Mar 27 22:59:07 +0000 2019,6670,2324
Hearthstone,1209608880,877640,"Or weave potent spells to do something heroic! #RiseOfShadows

Full Card Gallery: https://t.co/ti2cm24jrM https://t.co/jBqUOShTM6",RiseOfShadows,Wed Mar 27 19:41:20 +0000 2019,193,15
Hearthstone,1209608880,877640,"It never hurts to have a few Lackeys on your side! #RiseOfShadows

Full Card Gallery: https://t.co/ti2cm24jrM https://t.co/yKZlshVY5H",RiseOfShadows,Wed Mar 27 19:41:19 +0000 2019,245,17
Hearthstone,1209608880,877640,"RT @HSesports: The pinnacle of Hearthstone esports competition begins May 17!

Get the full details on how #HearthstoneGrandmasters works a…",HearthstoneGrandmasters,Wed Mar 27 17:34:16 +0000 2019,255,63
Hearthstone,1209608880,877640,"RT @DekkiGamesJP: 【新カード独占公開】ゲームコミュニティDEKKIは #ハースストーン のパラディン新呪文「ライトフォージの祝福」を、オリジナルソングに乗せてお届けします！
▶️https://t.co/peNAm4gwXr

歌・作詞はMasaruさん(@M…",ハースストーン,Wed Mar 27 00:08:36 +0000 2019,473,246
Hearthstone,1209608880,877640,Don't forget to login between now and April 2 to earn 3 free card packs! What's the one card you'll miss the most f… https://t.co/VLMYrdaOkq,[],Tue Mar 26 20:00:01 +0000 2019,393,70
Hearthstone,1209608880,877640,"But maybe you'll discover a plan to stop them? #RiseOfShadows

Full Card Gallery: https://t.co/ti2cm24jrM https://t.co/V6KZCApBxW",RiseOfShadows,Tue Mar 26 15:51:00 +0000 2019,218,27
Hearthstone,1209608880,877640,"Blastmaster Boom has a few plans of his own, but they mostly involve bombs 💣#RiseOfShadows

Full Card Gallery:… https://t.co/wtOQb9xAEC",RiseOfShadows,Tue Mar 26 15:50:59 +0000 2019,216,22
Hearthstone,1209608880,877640,The League of E.V.I.L. will never be defeated! Take a look at what treasures Heistbaron Togwaggle has unearthed 👑… https://t.co/62UEJWsGkm,[],Tue Mar 26 15:50:58 +0000 2019,278,31
Hearthstone,1209608880,877640,The first card reveal livestream is now live! Join us here: https://t.co/JiM7V4OBre https://t.co/pBIIkprA9c,[],Mon Mar 25 16:47:55 +0000 2019,264,53
Hearthstone,1209608880,877640,"New gear? 😍 Well played! 😎

🛒 https://t.co/tVBlOx7Xiq https://t.co/qDcmG6dikz",[],Sat Mar 23 14:00:01 +0000 2019,174,27
Hearthstone,1209608880,877640,"What will Madame Lazul find,
when she gazes into your opponent's mind? #RiseOfShadows

👀 https://t.co/bfoaFl6hqf https://t.co/J2HajU08gs",RiseOfShadows,Fri Mar 22 17:00:24 +0000 2019,887,138
Hearthstone,1209608880,877640,"@Jack_SwallowHS Hey, Hex showing a cost of 3-mana was an error and isn't a preview of any adjustments being made to the card in-game.",[],Thu Mar 21 17:51:46 +0000 2019,15,1
Hearthstone,1209608880,877640,"@AI_Mechanic Hey, Hex showing a cost of 3-mana was an error and isn't a preview of any adjustments being made to the card in-game.",[],Thu Mar 21 17:34:36 +0000 2019,1,0
Hearthstone,1209608880,877640,Join Game Designer Chadd Nervig as he introduces you to some dastardly villains and devious new mechanics coming to… https://t.co/WR10PXNJpv,[],Thu Mar 21 17:05:44 +0000 2019,311,45
Hearthstone,1209608880,877640,"Join us for our first #RiseOfShadows card reveal livestream this Monday, March 25 at 10 AM PDT! 

And get a sneak p… https://t.co/lfzYEjipPp",RiseOfShadows,Wed Mar 20 20:09:06 +0000 2019,521,71
Hearthstone,1209608880,877640,We’ve partnered with @MicrosoftStore to light the hearths in their stores across the country. Read on to find out h… https://t.co/yjfnap9wfN,[],Tue Mar 19 20:05:50 +0000 2019,208,37
