Author,Author_id,Comment,Comment_id,Comment_like,Comment_reply,Comment_published,Video_title,Video_id,Comment_count,Video_like,Video_dislike
Pasek Parikesit,UC7EF77Uq0mIpd1wC7DOSY_A,Where is Sir Tony Starks and Sir Michael Bolton ?,Ugzkrf3TiPDnSB3XQ5B4AaABAg,0,0,2019-04-25T05:27:01.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Vinit R Rai - VRR Sutra,UCURnNSrN3w-j_Ens264MRtQ,"Hey y'all, so this is my version from latest Game of thrones, Season 8th's 2nd episode.
Do give it a listen and subscribe my YouTube channel if you haven't already.
PS: Plug in your earphones for best output.
Cheers! 🤘🏻
https://youtu.be/QxdIGNFrWr0",UgwoqE73mUBfJKfYOJV4AaABAg,0,0,2019-04-25T05:22:47.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
TRASH MAN,UCv-WXsU6fb7geKFDRq8poBw,Got fans watch this https://youtu.be/Wy-MELqbkGE,UgytcmKn66WSG6owRFF4AaABAg,0,0,2019-04-25T05:01:17.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Supreme and Astute,UCiYXXfJ3nsPrHLufoLAbT7g,"*Guys this is what going to happen*
Mark my words.
Jon is the Azor Ahai and he will kill night king and die. Jon won't tell anyone about his claim to the throne. And Dany won't die. 

Arya will die so as Sansa (remember the crypt clip).
Theon, Jaime, tormund, davos, pod, hound, johra (200%).

Sam will die.
Bran won't. He'll be the last stark of winterfell. After night king's death his responsibility as a TER will come to an end.

Don't know about briene.
Tyrion will survive he'll be the Queen's hand (already he is).

Jon's baby is already in Dany's womb. They are the last targaryen successors. You know ""Men do stupid things for the love""

It's R.R. Martin, mate. 
He's such a A*s we already knew from the death of Ned.
We may different favourite characters like arya, Tyrion etc.

But deep inside we all know Jon's death will hurt us most. and that's what will happen.

*Come in the comment section after season finale*",UgwY3CNRByHUZzg7zBd4AaABAg,1,2,2019-04-25T04:29:22.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Lorcep Cuizon,UCk5nrGOQ77PhhuFJHIVUfEw,"I'am feeling hungry and you might be hungry too.
You might want to check this video link https://www.youtube.com/watch?v=ONIF3LDvgQE on how to cook spaghetti",Ugzn8H-DthzK9dLDyjl4AaABAg,0,0,2019-04-25T04:10:31.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Lorcep Cuizon,UCk5nrGOQ77PhhuFJHIVUfEw,hey awesome trailer of game of trones can's wait for it,UgzqkXcVHFEJv3VAtKN4AaABAg,0,0,2019-04-25T04:08:36.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Lorcep Cuizon,UCk5nrGOQ77PhhuFJHIVUfEw,https://www.youtube.com/watch?v=ONIF3LDvgQE,UgyFkmHemT1yEtmOqcV4AaABAg,0,0,2019-04-25T04:08:06.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
4maisland Yao,UCHMoz9NArYq6nsmSJyVeq3g,"Just got my new blackout curtains for the media room and can watch now, the best watching experience I've ever had
www.amazon.com/ECODECOR-Blackout-Insulated-Functional-Friendly/dp/B07K6KS4Y7",Ugy0T8ciKxAA1TcRAAR4AaABAg,0,0,2019-04-25T02:52:59.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
pants,UClyDzP1I7421otHsc51MbCQ,we are all gonna perish lads,UgxJstf0Zvs0Y4_bhvt4AaABAg,0,0,2019-04-25T00:09:05.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Fat Pancake,UCFA7cVly4WKOmitvvUJ9RYQ,the only shots i assume are after ep3 are the tyrion one and the drogon one at the very end,UgxcsgSneOhKBskr1nd4AaABAg,0,1,2019-04-24T23:59:38.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
The_Howler,UCu9uby-7OcxzavHGdj5HLow,When Arya is running she's carrying the head of her spear. And as she turns a corner it almost looks like Snow is following her,UgzVMZQrBZ9QMxGa_5d4AaABAg,0,0,2019-04-24T22:58:00.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
MrCake BehindCam,UC0wlfyINxaTICxk0ch9Y2eA,Guys don't let this distract you from the fact that Cersei still wants her elephants,UgxFTunpArtCBGhfN4J4AaABAg,6,0,2019-04-24T21:56:48.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Gilbert Jacky,UCwzgZ3XDSzULshQR0gJexzQ,"So Bran, Samwell and Tyrion live hmm... (night king doesn't win haha)",UgyH1uIxmSMghksVL-V4AaABAg,0,0,2019-04-24T21:30:21.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
MrMcDuck,UCi2HjR6y_O_B3XIQLE1Nlgg,i hate that this is the last season ;(,Ugzb4Ib9mFs_6MNNQOh4AaABAg,0,0,2019-04-24T21:23:35.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Jack Long,UCYkNFfpC2tkybOZg6dT6wAQ,Dislike this if there a dinosaur in your backyard and like this if there is grass in your backyard. If u don't follow these rules i will come and eat all ur cookies,UgwY5JZLVA3hMa_jH3B4AaABAg,1,0,2019-04-24T21:03:40.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Jack Long,UCYkNFfpC2tkybOZg6dT6wAQ,Like = game of Thrones dislike = T-series comment = The walking dead comment and like = pewdiepie,Ugw5J1YEXZFqF_mBZGJ4AaABAg,0,1,2019-04-24T20:59:28.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Milena :p,UCTuTjYefteleZY8fK_WZRiA,The hottest season!,Ugw82daRC8BVREFZsyd4AaABAg,0,0,2019-04-24T20:54:17.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
ТЁМА,UCYaVMf20CB-eQW_sBMEdxgQ,"your watch is over, mournful edd((( i think he gonna leave us in the 3-d episode",UgyBGAhese1xAHg8rQB4AaABAg,0,0,2019-04-24T19:40:23.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
ТЁМА,UCYaVMf20CB-eQW_sBMEdxgQ,"Never wanted to leave, never wanted to leave....((((((😭😭😭",Ugwsllx1YzLncKkf0CB4AaABAg,1,0,2019-04-24T19:36:04.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
AKSHAY pashet,UC9HHA3r3zQtRUG95NQ4dsFA,"https://m.facebook.com/story.php?story_fbid=816981998670308&id=580497382318772
Please like 
It will help me",UgyhiJcg6u-L-AqeGYV4AaABAg,0,0,2019-04-24T19:24:59.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Adri,UC9UEJfVOPcliR6kZyf7BFvw,The crypt full of dead bodies. A bomb already inside Winterfell.,Ugx9T6SnGOTiAlWp5dt4AaABAg,8,0,2019-04-24T19:13:53.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
